RSID,MLBID,Team,Trans,Pos,First,Last,Started,StarterInSeason,End,EndedInSeason,TotalInSeasonDays,Transferred to 60 day DL,Disabled List Type,Side,Location,BodyType,Injury,Extent,Surgery,Surgery Date
jackc002,433582,ARI,4/18/2010,O,Conor,Jackson,4/18/2010,4/18/2010,5/8/2010,5/8/2010,20,,15,right,hamstring,,strain,,,
montm001,471083,ARI,4/11/2010,C,Miguel,Montero,4/11/2010,4/11/2010,6/12/2010,6/12/2010,62,,15,right,knee,,sprain,,,
abret001,473234,ARI,5/25/2010,I,Tony,Abreu,5/24/2010,5/24/2010,6/15/2010,6/15/2010,22,,15,left,wrist,,sprain,,,
gutij002,434641,ARI,8/3/2010,P,Juan,Gutierrez,8/3/2010,8/3/2010,8/19/2010,8/19/2010,16,,15,right,shoulder,,inflammation,,,
rosal001,449820,ARI,4/29/2010,P,Leo,Rosales,4/29/2010,4/29/2010,9/1/2010,9/1/2010,125,5/2/2010,15,right,foot,,sprain,,,
bensk001,150249,ARI,4/29/2010,P,Kris,Benson,4/29/2010,4/29/2010,unk,10/3/2010,157,7/30/2010,15,right,shoulder,,sore,,,
webbb001,425630,ARI,4/5/2010,P,Brandon,Webb,3/26/2010,4/5/2010,unk,10/3/2010,181,4/17/2010,15,right,shoulder,,surgery,,yes,8/1/2009
escoy001,488862,ATL,5/4/2010,I,Yunel,Escobar,4/30/2010,4/30/2010,5/15/2010,5/15/2010,15,,15,left,groin,,strain,,,
reyej003,457456,ATL,4/15/2010,P,Jo-Jo,Reyes,4/13/2010,4/13/2010,5/16/2010,5/16/2010,33,,15,right,knee,,hyperextension,,,
schaj002,457788,ATL,4/3/2010,P,Jordan,Schafer,3/26/2010,4/5/2010,5/18/2010,5/18/2010,43,,15,left,hand,,surgery,,yes,9/1/2009
saitt001,493416,ATL,6/4/2010,P,Takashi,Saito,6/4/2010,6/4/2010,6/22/2010,6/22/2010,18,,15,left,hamstring,,strain,,,
diazm003,429841,ATL,5/15/2010,O,Matt,Diaz,5/15/2010,5/15/2010,6/29/2010,6/29/2010,45,,15,right,thumb,,infection,,,
jurrj001,457453,ATL,5/5/2010,P,Jair,Jurrjens,4/30/2010,4/30/2010,6/30/2010,6/30/2010,61,,15,left,hamstring,,strain,,,
heywj001,518792,ATL,6/29/2010,O,Jason,Heyward,6/27/2010,6/27/2010,7/15/2010,7/15/2010,18,,15,left,thumb,bone,bruise,,,
mclon001,434661,ATL,6/12/2010,O,Nate,McLouth,4/10/2010,4/10/2010,7/21/2010,7/21/2010,102,,15,,head,,concussion,,,
clevb001,459334,ATL,5/25/2010,O,Brent,Clevlen,5/24/2010,5/24/2010,7/27/2010,7/27/2010,64,,15,right,toe,,sprain,,,
pradm001,445988,ATL,8/2/2010,I,Martin,Prado,7/31/2010,7/31/2010,8/17/2010,8/17/2010,17,,15,right pinky,finger,,fracture,,,
oflae001,447714,ATL,7/15/2010,P,Eric,O'Flaherty,7/15/2010,7/15/2010,8/20/2010,8/20/2010,36,,15,,internal,,viral iInfection,,,
glaut001,136267,ATL,8/18/2010,I,Troy,Glaus,8/18/2010,8/18/2010,9/2/2010,9/2/2010,15,,15,left,knee,,sore,,,
medlk001,450665,ATL,8/5/2010,P,Kris,Medlen,8/5/2010,8/5/2010,unk,10/3/2010,59,9/1/2010,15,right,elbow,ligament,injury,,,
